Egan Bernal;INEOS Grenadiers;LEADER;2964;24
Simon Yates;Team BikeExchange;CLIMBER;1576;22
Remco Evenepoel;Deceuninck - Quick Step;LEADER;743;18
Aleksandr Vlasov;Astana - Premier Tech;CLIMBER;1544;16
Emanuel Buchmann;BORA - hansgrohe;LEADER;245;16
Peter Sagan;BORA - hansgrohe;SPRINTER;1113;16
João Almeida;Deceuninck - Quick Step;LEADER;1521;16
Mikel Landa;Bahrain - Victorious;CLIMBER;52;14
Hugh Carthy;EF Education - Nippo;CLIMBER;929;14
Pavel Sivakov;INEOS Grenadiers;LEADER;32;14
Caleb Ewan;Lotto Soudal;SPRINTER;520;14
Tim Merlier;Alpecin-Fenix;SPRINTER;510;12
Pello Bilbao;Bahrain - Victorious;LEADER;351;12
Daniel Felipe Martínez;INEOS Grenadiers;CLIMBER;1475;12
Jai Hindley;Team DSM;CLIMBER;10;12
Giacomo Nizzolo;Team Qhubeka ASSOS;SPRINTER;715;12
Vincenzo Nibali;Trek - Segafredo;LEADER;276;12
Elia Viviani;Cofidis;SPRINTER;793;10
Fausto Masnada;Deceuninck - Quick Step;CLIMBER;26;10
Dan Martin;Israel Start-Up Nation;CLIMBER;1191;10
Marc Soler;Movistar Team;LEADER;270;10
Romain Bardet;Team DSM;CLIMBER;1100;10
George Bennett;Team Jumbo-Visma;CLIMBER;754;10
Dylan Groenewegen;Team Jumbo-Visma;SPRINTER;411;10
Bauke Mollema;Trek - Segafredo;LEADER;430;10
Fernando Gaviria;UAE-Team Emirates;SPRINTER;923;10
Andrea Vendrame;AG2R Citroën Team ;SPRINTER;471;8
Gorka Izagirre;Astana - Premier Tech;LEADER;241;8
Damiano Caruso;Bahrain - Victorious;CLIMBER;2060;8
Felix Großschartner;BORA - hansgrohe;LEADER;86;8
Rémi Cavagna;Deceuninck - Quick Step;UNCLASSED;470;8
James Knox;Deceuninck - Quick Step;CLIMBER;54;8
Ruben Guerreiro;EF Education - Nippo;CLIMBER;48;8
Filippo Ganna;INEOS Grenadiers;UNCLASSED;832;8
Andrea Pasqualon;Intermarché - Wanty - Gobert Matériaux;SPRINTER;443;8
Davide Cimolai;Israel Start-Up Nation;SPRINTER;1017;8
Harm Vanhoucke;Lotto Soudal;CLIMBER;256;8
David Dekker;Team Jumbo-Visma;SPRINTER;44;8
Tobias Foss;Team Jumbo-Visma;LEADER;925;8
Domenico Pozzovivo;Team Qhubeka ASSOS;CLIMBER;19;8
Giulio Ciccone;Trek - Segafredo;CLIMBER;786;8
Davide Formolo;UAE-Team Emirates;CLIMBER;417;8
Diego Ulissi;UAE-Team Emirates;UNCLASSED;540;8
Geoffrey Bouchard;AG2R Citroën Team ;UNCLASSED;578;6
Clément Champoussin;AG2R Citroën Team ;UNCLASSED;0;6
Tony Gallopin;AG2R Citroën Team ;UNCLASSED;43;6
Larry Warbasse;AG2R Citroën Team ;UNCLASSED;33;6
Dries De Bondt;Alpecin-Fenix;UNCLASSED;630;6
Alexander Krieger;Alpecin-Fenix;SPRINTER;70;6
Gianni Vermeersch;Alpecin-Fenix;UNCLASSED;293;6
Louis Vervaeke;Alpecin-Fenix;UNCLASSED;364;6
Jefferson Alexander Cepeda;Androni Giocattoli - Sidermec;CLIMBER;0;6
Simon Pellaud;Androni Giocattoli - Sidermec;UNCLASSED;256;6
Natnael Tesfatsion;Androni Giocattoli - Sidermec;UNCLASSED;183;6
Fabio Felline;Astana - Premier Tech;UNCLASSED;97;6
Luis Leon Sánchez;Astana - Premier Tech;UNCLASSED;98;6
Matteo Sobrero;Astana - Premier Tech;UNCLASSED;179;6
Harold Tejada;Astana - Premier Tech;UNCLASSED;46;6
Gino Mäder;Bahrain - Victorious;CLIMBER;344;6
Matej Mohorič;Bahrain - Victorious;UNCLASSED;108;6
Jan Tratnik;Bahrain - Victorious;UNCLASSED;537;6
Rafael Valls;Bahrain - Victorious;UNCLASSED;88;6
Enrico Battaglin;Bardiani-CSF-Faizanè;UNCLASSED;152;6
Filippo Fiorelli;Bardiani-CSF-Faizanè;SPRINTER;381;6
Giovanni Visconti;Bardiani-CSF-Faizanè;UNCLASSED;192;6
Maciej Bodnar;BORA - hansgrohe;UNCLASSED;93;6
Matteo Fabbro;BORA - hansgrohe;UNCLASSED;32;6
Simone Consonni;Cofidis;UNCLASSED;448;6
Nicolas Edet;Cofidis;UNCLASSED;298;6
Mikkel Frølich Honoré;Deceuninck - Quick Step;UNCLASSED;137;6
Iljo Keisse;Deceuninck - Quick Step;UNCLASSED;99;6
Alberto Bettiol;EF Education - Nippo;UNCLASSED;548;6
Jonathan Klever Caicedo;EF Education - Nippo;CLIMBER;2;6
Simon Carr;EF Education - Nippo;UNCLASSED;32;6
Jens Keukeleire;EF Education - Nippo;UNCLASSED;12;6
Tejay Van Garderen;EF Education - Nippo;UNCLASSED;12;6
Manuel Belletti;EOLO-Kometa;UNCLASSED;105;6
Francesco Gavazzi;EOLO-Kometa;UNCLASSED;408;6
Matteo Badilatti;Groupama - FDJ;UNCLASSED;60;6
Rudy Molard;Groupama - FDJ;UNCLASSED;24;6
Sébastien Reichenbach;Groupama - FDJ;CLIMBER;24;6
Attila Valter;Groupama - FDJ;UNCLASSED;540;6
Jonathan Castroviejo;INEOS Grenadiers;UNCLASSED;440;6
Gianni Moscon;INEOS Grenadiers;UNCLASSED;764;6
Jhonatan Narváez;INEOS Grenadiers;UNCLASSED;355;6
Salvatore Puccio;INEOS Grenadiers;UNCLASSED;332;6
Jan Hirt;Intermarché - Wanty - Gobert Matériaux;CLIMBER;133;6
Riccardo Minali;Intermarché - Wanty - Gobert Matériaux;UNCLASSED;33;6
Simone Petilli;Intermarché - Wanty - Gobert Matériaux;UNCLASSED;113;6
Rein Taaramäe;Intermarché - Wanty - Gobert Matériaux;UNCLASSED;210;6
Patrick Bevin;Israel Start-Up Nation;UNCLASSED;208;6
Matthias Brändle;Israel Start-Up Nation;UNCLASSED;177;6
Alessandro De Marchi;Israel Start-Up Nation;UNCLASSED;301;6
Alex Dowsett;Israel Start-Up Nation;UNCLASSED;69;6
Krists Neilands;Israel Start-Up Nation;UNCLASSED;0;6
Jasper De Buyst;Lotto Soudal;UNCLASSED;46;6
Thomas De Gendt;Lotto Soudal;UNCLASSED;18;6
Kobe Goossens;Lotto Soudal;UNCLASSED;171;6
Stefano Oldani;Lotto Soudal;SPRINTER;463;6
Dario Cataldo;Movistar Team;UNCLASSED;219;6
Matteo Jorgenson;Movistar Team;UNCLASSED;44;6
Nelson Oliveira;Movistar Team;UNCLASSED;469;6
Antonio Pedrero;Movistar Team;UNCLASSED;296;6
Davide Villella;Movistar Team;UNCLASSED;4;6
Tanel Kangert;Team BikeExchange;UNCLASSED;129;6
Mikel Nieve;Team BikeExchange;CLIMBER;113;6
Nick Schultz;Team BikeExchange;UNCLASSED;83;6
Nikias Arndt;Team DSM;UNCLASSED;673;6
Nico Denz;Team DSM;UNCLASSED;155;6
Chris Hamilton;Team DSM;UNCLASSED;258;6
Max Kanter;Team DSM;SPRINTER;292;6
Nicolas Roche;Team DSM;UNCLASSED;245;6
Michael Storer;Team DSM;UNCLASSED;145;6
Edoardo Affini;Team Jumbo-Visma;UNCLASSED;668;6
Jos Van Emden;Team Jumbo-Visma;UNCLASSED;156;6
Victor Campenaerts;Team Qhubeka ASSOS;UNCLASSED;453;6
Kilian Frankiny;Team Qhubeka ASSOS;CLIMBER;32;6
Max Walscheid;Team Qhubeka ASSOS;SPRINTER;341;6
Gianluca Brambilla;Trek - Segafredo;CLIMBER;204;6
Jacopo Mosca;Trek - Segafredo;UNCLASSED;258;6
Matteo Moschetti;Trek - Segafredo;UNCLASSED;430;6
Valerio Conti;UAE-Team Emirates;UNCLASSED;72;6
Alessandro Covi;UAE-Team Emirates;UNCLASSED;473;6
Joe Dombrowski;UAE-Team Emirates;UNCLASSED;294;6
Juan Sebastián Molano;UAE-Team Emirates;SPRINTER;286;6
Maximiliano Richeze;UAE-Team Emirates;UNCLASSED;50;6
François Bidard;AG2R Citroën Team ;UNCLASSED;0;4
Alexis Gougeard;AG2R Citroën Team ;UNCLASSED;144;4
Lawrence Naesen;AG2R Citroën Team ;UNCLASSED;237;4
Jimmy Janssens;Alpecin-Fenix;UNCLASSED;40;4
Senne Leysen;Alpecin-Fenix;UNCLASSED;20;4
Oscar Riesebeek;Alpecin-Fenix;UNCLASSED;231;4
Andrii Ponomar;Androni Giocattoli - Sidermec;UNCLASSED;82;4
Simone Ravanelli;Androni Giocattoli - Sidermec;UNCLASSED;145;4
Eduardo Sepúlveda;Androni Giocattoli - Sidermec;UNCLASSED;37;4
Filippo Tagliani;Androni Giocattoli - Sidermec;UNCLASSED;152;4
Nicola Venchiarutti;Androni Giocattoli - Sidermec;UNCLASSED;60;4
Samuele Battistella;Astana - Premier Tech;UNCLASSED;168;4
Vadim Pronskiy;Astana - Premier Tech;UNCLASSED;58;4
Yukiya Arashiro;Bahrain - Victorious;UNCLASSED;88;4
Giovanni Carboni;Bardiani-CSF-Faizanè;UNCLASSED;179;4
Davide Gabburo;Bardiani-CSF-Faizanè;UNCLASSED;17;4
Umberto Marengo;Bardiani-CSF-Faizanè;UNCLASSED;188;4
Filippo Zana;Bardiani-CSF-Faizanè;UNCLASSED;157;4
Samuele Zoccarato;Bardiani-CSF-Faizanè;UNCLASSED;61;4
Giovanni Aleotti;BORA - hansgrohe;UNCLASSED;42;4
Cesare Benedetti;BORA - hansgrohe;UNCLASSED;12;4
Daniel Oss;BORA - hansgrohe;UNCLASSED;12;4
Natnael Berhane;Cofidis;UNCLASSED;12;4
Victor Lafay;Cofidis;UNCLASSED;248;4
Rémy Rochas;Cofidis;UNCLASSED;32;4
Fabio Sabatini;Cofidis;UNCLASSED;16;4
Attilio Viviani;Cofidis;UNCLASSED;16;4
Pieter Serry;Deceuninck - Quick Step;UNCLASSED;74;4
Julius Van Den Berg;EF Education - Nippo;UNCLASSED;16;4
Vincenzo Albanese;EOLO-Kometa;UNCLASSED;337;4
Mark Christian;EOLO-Kometa;UNCLASSED;77;4
Márton Dina;EOLO-Kometa;UNCLASSED;32;4
Lorenzo Fortunato;EOLO-Kometa;UNCLASSED;536;4
Edward Ravasi;EOLO-Kometa;UNCLASSED;20;4
Samuele Rivi;EOLO-Kometa;UNCLASSED;162;4
Antoine Duchesne;Groupama - FDJ;UNCLASSED;24;4
Simon Guglielmi;Groupama - FDJ;UNCLASSED;194;4
Romain Seigle;Groupama - FDJ;UNCLASSED;24;4
Lars Van Den Berg;Groupama - FDJ;UNCLASSED;100;4
Quinten Hermans;Intermarché - Wanty - Gobert Matériaux;UNCLASSED;319;4
Wesley Kreder;Intermarché - Wanty - Gobert Matériaux;UNCLASSED;28;4
Taco Van Der Hoorn;Intermarché - Wanty - Gobert Matériaux;UNCLASSED;384;4
Guy Niv;Israel Start-Up Nation;UNCLASSED;100;4
Roger Kluge;Lotto Soudal;UNCLASSED;160;4
Tomasz Marczyński;Lotto Soudal;UNCLASSED;16;4
Einer Augusto Rubio;Movistar Team;UNCLASSED;40;4
Albert Torres;Movistar Team;UNCLASSED;104;4
Michael Hepburn;Team BikeExchange;UNCLASSED;58;4
Christopher Juul-Jensen;Team BikeExchange;UNCLASSED;152;4
Cameron Meyer;Team BikeExchange;UNCLASSED;58;4
Callum Scotson;Team BikeExchange;UNCLASSED;58;4
Koen Bouwman;Team Jumbo-Visma;UNCLASSED;458;4
Paul Martens;Team Jumbo-Visma;UNCLASSED;82;4
Bert-Jan Lindeman;Team Qhubeka ASSOS;UNCLASSED;52;4
Mauro Schmid;Team Qhubeka ASSOS;UNCLASSED;264;4
Łukasz Wiśniowski;Team Qhubeka ASSOS;UNCLASSED;92;4
Koen De Kort;Trek - Segafredo;UNCLASSED;60;4
Amanuel Ghebreigzabhier;Trek - Segafredo;UNCLASSED;100;4
