Robert Gesink;Team Jumbo-Visma;UNCLASSED;333;6
Jonas Vingegaard;Team Jumbo-Visma;UNCLASSED;298;6
Robert Power;Team Sunweb;UNCLASSED;230;6
Michael Storer;Team Sunweb;UNCLASSED;413;6
Jasha Sütterlin;Team Sunweb;UNCLASSED;351;6
Jonathan Hivert;Team Total Direct Energie;UNCLASSED;45;6
Pim Ligthart;Team Total Direct Energie;UNCLASSED;30;6
Lorrenzo Manzin;Team Total Direct Energie;UNCLASSED;190;6
Julien Simon;Team Total Direct Energie;UNCLASSED;230;6
Niki Terpstra;Team Total Direct Energie;UNCLASSED;20;6
Niklas Eg;Trek - Segafredo;UNCLASSED;48;6
Kenny Elissonde;Trek - Segafredo;CLIMBER;178;6
Alexander Kamp;Trek - Segafredo;UNCLASSED;0;6
Emīls Liepiņš;Trek - Segafredo;UNCLASSED;75;6
Juan Pedro López;Trek - Segafredo;UNCLASSED;0;6
Matteo Moschetti;Trek - Segafredo;SPRINTER;110;6
Sergio Henao;UAE-Team Emirates;CLIMBER;351;6
Rui Oliveira;UAE-Team Emirates;UNCLASSED;80;6
Alexandr Riabushenko;UAE-Team Emirates;UNCLASSED;84;6
Axel Domont;AG2R La Mondiale;UNCLASSED;0;4
Alexandre Geniez;AG2R La Mondiale;UNCLASSED;0;4
Harry Tanfield;AG2R La Mondiale;UNCLASSED;55;4
Scott Davies;Bahrain - McLaren;UNCLASSED;0;4
Kevin Inkelaar;Bahrain - McLaren;UNCLASSED;0;4
Stephen Williams;Bahrain - McLaren;UNCLASSED;0;4
Alfred Wright;Bahrain - McLaren;UNCLASSED;205;4
Ide Schelling;BORA - hansgrohe;UNCLASSED;104;4
Andreas Schillinger;BORA - hansgrohe;UNCLASSED;44;4
Michael Schwarzmann;BORA - hansgrohe;UNCLASSED;24;4
Óscar Cabedo;Burgos-BH;UNCLASSED;20;4
Jesús Ezquerra;Burgos-BH;UNCLASSED;90;4
Juan Felipe Osorio;Burgos-BH;UNCLASSED;62;4
Willie Smit;Burgos-BH;UNCLASSED;50;4
Ricardo Vilela;Burgos-BH;UNCLASSED;0;4
Julen Amezqueta;Caja Rural - Seguros RGA;UNCLASSED;20;4
Aritz Bagües;Caja Rural - Seguros RGA;UNCLASSED;55;4
Jefferson Alveiro Cepeda;Caja Rural - Seguros RGA;UNCLASSED;20;4
Jhojan García;Caja Rural - Seguros RGA;UNCLASSED;20;4
Héctor Sáez;Caja Rural - Seguros RGA;UNCLASSED;15;4
Will Barta;CCC Team;UNCLASSED;247;4
Michał Paluta;CCC Team;UNCLASSED;2;4
Francisco José Ventoso;CCC Team;UNCLASSED;2;4
Łukasz Wiśniowski;CCC Team;UNCLASSED;54;4
Georg Zimmermann;CCC Team;UNCLASSED;101;4
Natnael Berhane;Cofidis Solutions Crédits;UNCLASSED;4;4
Victor Lafay;Cofidis Solutions Crédits;UNCLASSED;69;4
Emmanuel Morin;Cofidis Solutions Crédits;UNCLASSED;234;4
Ian Garrison;Deceuninck - Quick Step;UNCLASSED;18;4
Mitchell Docker;EF Pro Cycling;UNCLASSED;52;4
Logan Owen;EF Pro Cycling;UNCLASSED;52;4
Julius Van Den Berg;EF Pro Cycling;UNCLASSED;72;4
Bruno Armirail;Groupama - FDJ;UNCLASSED;218;4
Mickaël Delage;Groupama - FDJ;UNCLASSED;16;4
Matthieu Ladagnous;Groupama - FDJ;UNCLASSED;23;4
Olivier Le Gac;Groupama - FDJ;UNCLASSED;16;4
Romain Seigle;Groupama - FDJ;UNCLASSED;0;4
Cameron Wurf;Ineos Grenadiers;UNCLASSED;110;4
Omer Goldstein;Israel Start-Up Nation;UNCLASSED;44;4
Reto Hollenstein;Israel Start-Up Nation;UNCLASSED;44;4
Alexis Renard;Israel Start-Up Nation;UNCLASSED;154;4
Rory Sutherland;Israel Start-Up Nation;UNCLASSED;44;4
Stan Dewulf;Lotto Soudal;UNCLASSED;155;4
Kobe Goossens;Lotto Soudal;UNCLASSED;95;4
Tomasz Marczyński;Lotto Soudal;UNCLASSED;40;4
Rémy Mertz;Lotto Soudal;UNCLASSED;20;4
Gerben Thijssen;Lotto Soudal;UNCLASSED;341;4
Brent Van Moer;Lotto Soudal;UNCLASSED;55;4
Alex Edmondson;Mitchelton-Scott;UNCLASSED;44;4
Tsgabu Grmay;Mitchelton-Scott;UNCLASSED;12;4
Callum Scotson;Mitchelton-Scott;UNCLASSED;32;4
Jorge Arcas;Movistar Team;UNCLASSED;207;4
Imanol Erviti;Movistar Team;UNCLASSED;202;4
Nic Dlamini;NTT Pro Cycling;UNCLASSED;0;4
Gino Mäder;NTT Pro Cycling;UNCLASSED;353;4
Lennard Hofstede;Team Jumbo-Visma;UNCLASSED;268;4
Paul Martens;Team Jumbo-Visma;UNCLASSED;268;4
Thymen Arensman;Team Sunweb;UNCLASSED;406;4
Mark Donovan;Team Sunweb;UNCLASSED;386;4
Max Kanter;Team Sunweb;UNCLASSED;449;4
Martin Salmon;Team Sunweb;UNCLASSED;6;4
Ilan Van Wilder;Team Sunweb;UNCLASSED;0;4
Valentin Ferron;Team Total Direct Energie;UNCLASSED;9;4
Paul Ourselin;Team Total Direct Energie;UNCLASSED;0;4
Romain Sicard;Team Total Direct Energie;UNCLASSED;16;4
Koen De Kort;Trek - Segafredo;UNCLASSED;16;4
Michel Ries;Trek - Segafredo;UNCLASSED;5;4
Ivo Oliveira;UAE-Team Emirates;UNCLASSED;141;4
