Alex Dowsett;Israel Start-Up Nation;UNCLASSED;385;6
Daniel Navarro;Israel Start-Up Nation;CLIMBER;48;6
Rick Zabel;Israel Start-Up Nation;UNCLASSED;171;6
Jonathan Dibben;Lotto Soudal;UNCLASSED;6;6
Matthew Holmes;Lotto Soudal;CLIMBER;321;6
Edoardo Affini;Mitchelton-Scott;UNCLASSED;0;6
Michael Hepburn;Mitchelton-Scott;UNCLASSED;37;6
Damien Howson;Mitchelton-Scott;CLIMBER;0;6
Dario Cataldo;Movistar Team;UNCLASSED;65;6
Sergio Samitier;Movistar Team;UNCLASSED;485;6
Eduardo Sepúlveda;Movistar Team;UNCLASSED;40;6
Davide Villella;Movistar Team;UNCLASSED;175;6
Victor Campenaerts;NTT Pro Cycling;UNCLASSED;517;6
Amanuel Ghebreigzabhier;NTT Pro Cycling;UNCLASSED;138;6
Louis Meintjes;NTT Pro Cycling;CLIMBER;74;6
Ben O'Connor;NTT Pro Cycling;UNCLASSED;753;6
Danilo Wyss;NTT Pro Cycling;UNCLASSED;16;6
Koen Bouwman;Team Jumbo-Visma;UNCLASSED;2;6
Chris Harper;Team Jumbo-Visma;UNCLASSED;7;6
Tony Martin;Team Jumbo-Visma;UNCLASSED;2;6
Jos Van Emden;Team Jumbo-Visma;UNCLASSED;51;6
Chad Haga;Team Sunweb;UNCLASSED;310;6
Chris Hamilton;Team Sunweb;UNCLASSED;182;6
Jai Hindley;Team Sunweb;CLIMBER;2106;6
Martijn Tusveld;Team Sunweb;UNCLASSED;262;6
Nicola Conci;Trek - Segafredo;UNCLASSED;26;6
Jacopo Mosca;Trek - Segafredo;UNCLASSED;307;6
Pieter Weening;Trek - Segafredo;UNCLASSED;4;6
Mikkel Bjerg;UAE-Team Emirates;UNCLASSED;589;6
Valerio Conti;UAE-Team Emirates;CLIMBER;112;6
Brandon McNulty;UAE-Team Emirates;UNCLASSED;1018;6
Juan Sebastián Molano;UAE-Team Emirates;UNCLASSED;172;6
Maximiliano Richeze;UAE-Team Emirates;SPRINTER;42;6
Lorenzo Rota;Vini Zabù - KTM;UNCLASSED;109;6
Luca Wackermann;Vini Zabù - KTM;UNCLASSED;129;6
Ben Gastauer;AG2R La Mondiale;UNCLASSED;20;4
Jaakko Hänninen;AG2R La Mondiale;UNCLASSED;0;4
Alessandro Bisolti;Androni Giocattoli - Sidermec;UNCLASSED;24;4
Luca Chirico;Androni Giocattoli - Sidermec;UNCLASSED;20;4
Simon Pellaud;Androni Giocattoli - Sidermec;UNCLASSED;442;4
Simone Ravanelli;Androni Giocattoli - Sidermec;UNCLASSED;160;4
Josip Rumac;Androni Giocattoli - Sidermec;UNCLASSED;35;4
Yukiya Arashiro;Bahrain - McLaren;UNCLASSED;76;4
Eros Capecchi;Bahrain - McLaren;UNCLASSED;80;4
Domen Novak;Bahrain - McLaren;UNCLASSED;118;4
Luca Covili;Bardiani-CSF-Faizanè;UNCLASSED;0;4
Filippo Fiorelli;Bardiani-CSF-Faizanè;UNCLASSED;215;4
Fabio Mazzucco;Bardiani-CSF-Faizanè;UNCLASSED;20;4
Francesco Romano;Bardiani-CSF-Faizanè;UNCLASSED;70;4
Alessandro Tonelli;Bardiani-CSF-Faizanè;UNCLASSED;150;4
Filippo Zana;Bardiani-CSF-Faizanè;UNCLASSED;50;4
Cesare Benedetti;BORA - hansgrohe;UNCLASSED;86;4
Patrick Gamper;BORA - hansgrohe;UNCLASSED;16;4
Paweł Poljański;BORA - hansgrohe;UNCLASSED;64;4
Kamil Gradek;CCC Team;UNCLASSED;143;4
Pavel Kochetkov;CCC Team;UNCLASSED;0;4
Mathias Le Turnier;Cofidis Solutions Crédits;UNCLASSED;0;4
Marco Mathis;Cofidis Solutions Crédits;UNCLASSED;50;4
Stéphane Rossetto;Cofidis Solutions Crédits;UNCLASSED;46;4
Sean Bennett;EF Pro Cycling;UNCLASSED;51;4
James Whelan;EF Pro Cycling;UNCLASSED;66;4
Jacopo Guarnieri;Groupama - FDJ;UNCLASSED;83;4
Simon Guglielmi;Groupama - FDJ;UNCLASSED;52;4
Ignatas Konovalovas;Groupama - FDJ;UNCLASSED;32;4
Benjamin Thomas;Groupama - FDJ;UNCLASSED;8;4
Alexander Cataford;Israel Start-Up Nation;UNCLASSED;8;4
Guy Sagiv;Israel Start-Up Nation;UNCLASSED;8;4
Sander Armée;Lotto Soudal;UNCLASSED;164;4
Adam Hansen;Lotto Soudal;UNCLASSED;6;4
Stefano Oldani;Lotto Soudal;UNCLASSED;224;4
Harm Vanhoucke;Lotto Soudal;UNCLASSED;568;4
Brent Bookwalter;Mitchelton-Scott;UNCLASSED;0;4
Cameron Meyer;Mitchelton-Scott;UNCLASSED;0;4
Héctor Carretero;Movistar Team;UNCLASSED;115;4
Antonio Pedrero;Movistar Team;UNCLASSED;288;4
Einer Augusto Rubio;Movistar Team;UNCLASSED;170;4
Albert Torres;Movistar Team;UNCLASSED;135;4
Matteo Sobrero;NTT Pro Cycling;UNCLASSED;247;4
Dylan Sunderland;NTT Pro Cycling;UNCLASSED;16;4
Tobias Foss;Team Jumbo-Visma;UNCLASSED;175;4
Christoph Pfingsten;Team Jumbo-Visma;UNCLASSED;6;4
Nico Denz;Team Sunweb;UNCLASSED;340;4
Julien Bernard;Trek - Segafredo;UNCLASSED;46;4
Antonio Nibali;Trek - Segafredo;UNCLASSED;6;4
Simone Bevilacqua;Vini Zabù - KTM;UNCLASSED;4;4
Marco Frapporti;Vini Zabù - KTM;UNCLASSED;154;4
Matteo Spreafico;Vini Zabù - KTM;UNCLASSED;4;4
Etienne Van Empel;Vini Zabù - KTM;UNCLASSED;139;4
Edoardo Zardini;Vini Zabù - KTM;UNCLASSED;65;4
