Tadej Pogačar,UAE Team Emirates,All Rounder,3412,26
Primož Roglič,Jumbo-Visma,All Rounder,677,22
Wout Van Aert,Jumbo-Visma,Sprinter,2917,18
Jonas Vingegaard,Jumbo-Visma,All Rounder,3199,18
Jasper Philipsen,Alpecin-Fenix,Sprinter,1384,14
Mathieu Van Der Poel,Alpecin-Fenix,Unclassed,215,14
Aleksandr Vlasov,BORA - hansgrohe,All Rounder,1101,14
Daniel Felipe Martínez,INEOS Grenadiers,Climber,607,14
Geraint Thomas,INEOS Grenadiers,All Rounder,2025,14
Fabio Jakobsen,Quick-Step Alpha Vinyl Team,Sprinter,684,14
Ben O'Connor,AG2R Citroën Team,Climber,8,12
Adam Yates,INEOS Grenadiers,Climber,1107,12
Caleb Ewan,Lotto Soudal,Sprinter,265,12
Enric Mas,Movistar Team,All Rounder,560,12
Peter Sagan,TotalEnergies,Sprinter,682,12
Jack Haig,Bahrain - Victorious,Climber,0,10
David Gaudu,Groupama - FDJ,Climber,1442,10
Filippo Ganna,INEOS Grenadiers,Unclassed,695,10
Jakob Fuglsang,Israel - Premier Tech,All Rounder,194,10
Nairo Quintana,Team Arkéa Samsic,Climber,1109,10
Dylan Groenewegen,Team BikeExchange - Jayco,Sprinter,717,10
Michael Matthews,Team BikeExchange - Jayco,Sprinter,779,10
Romain Bardet,Team DSM,Climber,1015,10
Alexey Lutsenko,Astana Qazaqstan Team,All Rounder,758,8
Damiano Caruso,Bahrain - Victorious,Climber,183,8
Matej Mohorič,Bahrain - Victorious,Unclassed,48,8
Felix Großschartner,BORA - hansgrohe,All Rounder,175,8
Lennard Kämna,BORA - hansgrohe,Climber,422,8
Ion Izagirre,Cofidis,All Rounder,91,8
Guillaume Martin,Cofidis,Climber,92,8
Magnus Cort,EF Education-EasyPost,Unclassed,706,8
Ruben Guerreiro,EF Education-EasyPost,Climber,12,8
Rigoberto Urán,EF Education-EasyPost,All Rounder,222,8
Thibaut Pinot,Groupama - FDJ,Climber,769,8
Thomas Pidcock,INEOS Grenadiers,Unclassed,1080,8
Alexander Kristoff,Intermarché - Wanty - Gobert Matériaux,Sprinter,498,8
Chris Froome,Israel - Premier Tech,All Rounder,236,8
Michael Woods,Israel - Premier Tech,Climber,282,8
Sepp Kuss,Jumbo-Visma,Climber,628,8
Tim Wellens,Lotto Soudal,Unclassed,23,8
Andrea Bagioli,Quick-Step Alpha Vinyl Team,Unclassed,20,8
Warren Barguil,Team Arkéa Samsic,Climber,154,8
Alberto Dainese,Team DSM,Sprinter,451,8
Andreas Leknessund,Team DSM,Unclassed,151,8
Mads Pedersen,Trek - Segafredo,Sprinter,987,8
Marc Hirschi,UAE Team Emirates,Unclassed,118,8
Brandon McNulty,UAE Team Emirates,All Rounder,428,8
Geoffrey Bouchard,AG2R Citroën Team,Climber,0,6
Benoît Cosnefroy,AG2R Citroën Team,Unclassed,52,6
Stan Dewulf,AG2R Citroën Team,Unclassed,48,6
Bob Jungels,AG2R Citroën Team,Unclassed,691,6
Aurélien Paret-Peintre,AG2R Citroën Team,Unclassed,53,6
Kristian Sbaragli,Alpecin-Fenix,Unclassed,70,6
Joe Dombrowski,Astana Qazaqstan Team,Climber,20,6
Fabio Felline,Astana Qazaqstan Team,Unclassed,0,6
Gianni Moscon,Astana Qazaqstan Team,Unclassed,0,6
Simone Velasco,Astana Qazaqstan Team,Unclassed,96,6
Franck Bonnamour,B&B Hotels - KTM,Climber,65,6
Luca Mozzato,B&B Hotels - KTM,Sprinter,440,6
Pierre Rolland,B&B Hotels - KTM,Climber,28,6
Luis León Sánchez,Bahrain - Victorious,Unclassed,473,6
Dylan Teuns,Bahrain - Victorious,Climber,495,6
Jan Tratnik,Bahrain - Victorious,Unclassed,119,6
Fred Wright,Bahrain - Victorious,Unclassed,575,6
Marco Haller,BORA - hansgrohe,Sprinter,67,6
Patrick Konrad,BORA - hansgrohe,All Rounder,396,6
Nils Politt,BORA - hansgrohe,Unclassed,190,6
Maximilian Schachmann,BORA - hansgrohe,All Rounder,208,6
Danny Van Poppel,BORA - hansgrohe,Sprinter,538,6
Simon Geschke,Cofidis,Unclassed,608,6
Victor Lafay,Cofidis,Unclassed,0,6
Pierre-Luc Périchon,Cofidis,Unclassed,0,6
Max Walscheid,Cofidis,Sprinter,80,6
Alberto Bettiol,EF Education-EasyPost,Unclassed,472,6
Stefan Bissegger,EF Education-EasyPost,Unclassed,72,6
Neilson Powless,EF Education-EasyPost,All Rounder,910,6
Kevin Geniets,Groupama - FDJ,Unclassed,78,6
Stefan Küng,Groupama - FDJ,Unclassed,410,6
Valentin Madouas,Groupama - FDJ,Unclassed,642,6
Michael Storer,Groupama - FDJ,Climber,223,6
Jonathan Castroviejo,INEOS Grenadiers,Unclassed,434,6
Dylan Van Baarle,INEOS Grenadiers,Unclassed,427,6
Sven Erik Bystrøm,Intermarché - Wanty - Gobert Matériaux,Unclassed,50,6
Louis Meintjes,Intermarché - Wanty - Gobert Matériaux,Climber,894,6
Andrea Pasqualon,Intermarché - Wanty - Gobert Matériaux,Sprinter,227,6
Taco Van Der Hoorn,Intermarché - Wanty - Gobert Matériaux,Unclassed,258,6
Georg Zimmermann,Intermarché - Wanty - Gobert Matériaux,Unclassed,140,6
Guillaume Boivin,Israel - Premier Tech,Unclassed,38,6
Simon Clarke,Israel - Premier Tech,Unclassed,296,6
Hugo Houle,Israel - Premier Tech,Unclassed,580,6
Tiesj Benoot,Jumbo-Visma,Unclassed,364,6
Steven Kruijswijk,Jumbo-Visma,All Rounder,332,6
Christophe Laporte,Jumbo-Visma,Sprinter,968,6
Philippe Gilbert,Lotto Soudal,Unclassed,60,6
Reinardt Janse van Rensburg,Lotto Soudal,Sprinter,11,6
Andreas Kron,Lotto Soudal,Unclassed,227,6
Brent Van Moer,Lotto Soudal,Unclassed,10,6
Gorka Izagirre,Movistar Team,Unclassed,44,6
Matteo Jorgenson,Movistar Team,Unclassed,545,6
Nelson Oliveira,Movistar Team,Unclassed,58,6
Carlos Verona,Movistar Team,Unclassed,282,6
Kasper Asgreen,Quick-Step Alpha Vinyl Team,Unclassed,41,6
Mattia Cattaneo,Quick-Step Alpha Vinyl Team,All Rounder,208,6
Mikkel Frølich Honoré,Quick-Step Alpha Vinyl Team,Unclassed,159,6
Yves Lampaert,Quick-Step Alpha Vinyl Team,Unclassed,408,6
Michael Mørkøv,Quick-Step Alpha Vinyl Team,Unclassed,59,6
Florian Sénéchal,Quick-Step Alpha Vinyl Team,Unclassed,335,6
Amaury Capiot,Team Arkéa Samsic,Sprinter,155,6
Hugo Hofstetter,Team Arkéa Samsic,Sprinter,423,6
Matis Louvel,Team Arkéa Samsic,Unclassed,18,6
Connor Swift,Team Arkéa Samsic,Unclassed,54,6
Luke Durbridge,Team BikeExchange - Jayco,Unclassed,42,6
Christopher Juul-Jensen,Team BikeExchange - Jayco,Unclassed,42,6
