Óscar Rodríguez,INEOS Grenadiers,Climber,167,6
Vito Braet,Intermarché - Wanty,Sprinter,230,6
Kobe Goossens,Intermarché - Wanty,Unclassed,0,6
Arne Marit,Intermarché - Wanty,Sprinter,242,6
Louis Meintjes,Intermarché - Wanty,Climber,136,6
Lorenzo Rota,Intermarché - Wanty,Unclassed,155,6
Rein Taaramäe,Intermarché - Wanty,Climber,2,6
George Bennett,Israel - Premier Tech,Unclassed,403,6
Marco Frigo,Israel - Premier Tech,Unclassed,497,6
Riley Sheehan,Israel - Premier Tech,Sprinter,36,6
Dylan Teuns,Israel - Premier Tech,Climber,61,6
Sam Oomen,Lidl - Trek,Unclassed,245,6
Mathias Vacek,Lidl - Trek,Sprinter,964,6
Carlos Verona,Lidl - Trek,Unclassed,214,6
Victor Campenaerts,Lotto Dstny,Unclassed,265,6
Thomas De Gendt,Lotto Dstny,Unclassed,4,6
Jonas Gregaard,Lotto Dstny,Unclassed,92,6
Andreas Kron,Lotto Dstny,Unclassed,38,6
Sylvain Moniquet,Lotto Dstny,Unclassed,155,6
Eduardo Sepúlveda,Lotto Dstny,Unclassed,4,6
Carlos Canal,Movistar Team,Sprinter,222,6
Nelson Oliveira,Movistar Team,Unclassed,143,6
Roger Adrià,Red Bull - BORA - hansgrohe,Sprinter,300,6
Giovanni Aleotti,Red Bull - BORA - hansgrohe,Unclassed,214,6
Nico Denz,Red Bull - BORA - hansgrohe,Unclassed,202,6
Patrick Gamper,Red Bull - BORA - hansgrohe,Unclassed,174,6
Kasper Asgreen,Soudal - Quick Step,Unclassed,134,6
Mattia Cattaneo,Soudal - Quick Step,Unclassed,261,6
James Knox,Soudal - Quick Step,Unclassed,6,6
William Junior Lecerf,Soudal - Quick Step,Unclassed,217,6
Casper Pedersen,Soudal - Quick Step,Sprinter,2,6
Louis Vervaeke,Soudal - Quick Step,Unclassed,52,6
Chris Hamilton,Team dsm-firmenich PostNL,Unclassed,22,6
Gijs Leemreize,Team dsm-firmenich PostNL,Unclassed,326,6
Alessandro De Marchi,Team Jayco AlUla,Unclassed,28,6
Eddie Dunbar,Team Jayco AlUla,All Rounder,909,6
Felix Engelhardt,Team Jayco AlUla,Unclassed,85,6
Chris Harper,Team Jayco AlUla,Climber,52,6
Callum Scotson,Team Jayco AlUla,Unclassed,12,6
Filippo Zana,Team Jayco AlUla,Climber,438,6
Edoardo Affini,Team Visma | Lease a Bike,Sprinter,290,6
Robert Gesink,Team Visma | Lease a Bike,Unclassed,76,6
Steven Kruijswijk,Team Visma | Lease a Bike,Unclassed,230,6
Attila Valter,Team Visma | Lease a Bike,Climber,192,6
Dylan Van Baarle,Team Visma | Lease a Bike,Unclassed,14,6
Filippo Baroncini,UAE Team Emirates,Unclassed,622,6
Juri Hollmann,Alpecin-Deceuninck,Unclassed,184,4
Edward Planckaert,Alpecin-Deceuninck,Unclassed,177,4
Oscar Riesebeek,Alpecin-Deceuninck,Unclassed,34,4
Luca Vergallito,Alpecin-Deceuninck,Unclassed,208,4
Simon Guglielmi,Arkéa - B&B Hotels,Unclassed,301,4
Laurens Huys,Arkéa - B&B Hotels,Unclassed,0,4
Mathis Le Berre,Arkéa - B&B Hotels,Unclassed,204,4
Łukasz Owsian,Arkéa - B&B Hotels,Unclassed,0,4
Michel Ries,Arkéa - B&B Hotels,Unclassed,8,4
Gianmarco Garofoli,Astana Qazaqstan Team,Unclassed,196,4
Santiago Umba,Astana Qazaqstan Team,Unclassed,0,4
Nicolas Vinokurov,Astana Qazaqstan Team,Unclassed,20,4
Kamil Gradek,Bahrain - Victorious,Unclassed,0,4
Rainer Kepplinger,Bahrain - Victorious,Unclassed,0,4
Fran Miholjević,Bahrain - Victorious,Unclassed,34,4
Jasha Sütterlin,Bahrain - Victorious,Unclassed,16,4
Thomas Champion,Cofidis,Unclassed,40,4
Rubén Fernández,Cofidis,Unclassed,40,4
Jonathan Lastra,Cofidis,Unclassed,20,4
Urko Berrade,Equipo Kern Pharma,Unclassed,616,4
Jorge Gutiérrez,Equipo Kern Pharma,Unclassed,26,4
Unai Iribar,Equipo Kern Pharma,Unclassed,54,4
José Félix Parra,Equipo Kern Pharma,Unclassed,273,4
Ibon Ruiz,Equipo Kern Pharma,Unclassed,146,4
Xabier Berasategi,Euskaltel - Euskadi,Unclassed,152,4
Xabier Isasa,Euskaltel - Euskadi,Unclassed,118,4
Lorenzo Germani,Groupama - FDJ,Unclassed,18,4
Reuben Thompson,Groupama - FDJ,Unclassed,18,4
Tom Paquot,Intermarché - Wanty,Unclassed,0,4
Simone Petilli,Intermarché - Wanty,Unclassed,38,4
Nadav Raisberg,Israel - Premier Tech,Unclassed,56,4
Otto Vergaerde,Lidl - Trek,Unclassed,18,4
Arjen Livyns,Lotto Dstny,Unclassed,293,4
Jorge Arcas,Movistar Team,Unclassed,38,4
Enzo Leijnse,Team dsm-firmenich PostNL,Unclassed,42,4
Tim Naberman,Team dsm-firmenich PostNL,Unclassed,22,4
Martijn Tusveld,Team dsm-firmenich PostNL,Unclassed,72,4
Julius Van Den Berg,Team dsm-firmenich PostNL,Unclassed,42,4
Welay Berhe,Team Jayco AlUla,Unclassed,8,4
