Primož Roglič,Red Bull - BORA - hansgrohe,All Rounder,913,24
Juan Ayuso,UAE Team Emirates - XRG,All Rounder,1153,20
Wout Van Aert,Team Visma | Lease a Bike,Sprinter,1042,16
Adam Yates,UAE Team Emirates - XRG,Climber,778,16
Antonio Tiberi,Bahrain - Victorious,All Rounder,1085,14
Mads Pedersen,Lidl - Trek,Sprinter,2106,14
Mikel Landa,Soudal Quick-Step,Climber,0,14
Richard Carapaz,EF Education - EasyPost,Climber,1978,12
Egan Bernal,INEOS Grenadiers,Climber,1037,12
Derek Gee,Israel - Premier Tech,All Rounder,1252,12
Olav Kooij,Team Visma | Lease a Bike,Sprinter,1199,12
Simon Yates,Team Visma | Lease a Bike,Climber,1795,12
Michael Storer,Tudor Pro Cycling Team,Climber,737,12
Kaden Groves,Alpecin - Deceuninck,Sprinter,883,10
Thymen Arensman,INEOS Grenadiers,All Rounder,243,10
Giulio Ciccone,Lidl - Trek,Climber,831,10
Thomas Pidcock,Q36.5 Pro Cycling Team,Unclassed,811,10
Jai Hindley,Red Bull - BORA - hansgrohe,Climber,68,10
Daniel Felipe Martínez,Red Bull - BORA - hansgrohe,All Rounder,94,10
Isaac Del Toro,UAE Team Emirates - XRG,All Rounder,2742,10
Pello Bilbao,Bahrain - Victorious,All Rounder,191,8
Damiano Caruso,Bahrain - Victorious,Climber,1319,8
Sam Bennett,Decathlon AG2R La Mondiale Team,Sprinter,258,8
Andrea Vendrame,Decathlon AG2R La Mondiale Team,Sprinter,297,8
Georg Steinhauser,EF Education - EasyPost,Climber,199,8
David Gaudu,Groupama - FDJ,Climber,56,8
Gerben Thijssen,Intermarché - Wanty,Sprinter,87,8
Corbin Strong,Israel - Premier Tech,Sprinter,237,8
Mathias Vacek,Lidl - Trek,Unclassed,449,8
Nairo Quintana,Movistar Team,Climber,77,8
Einer Rubio,Movistar Team,Climber,695,8
Giulio Pellizzari,Red Bull - BORA - hansgrohe,Climber,942,8
Paul Magnier,Soudal Quick-Step,Sprinter,335,8
Filippo Zana,Team Jayco AlUla,Climber,167,8
Romain Bardet,Team Picnic PostNL,Climber,582,8
Max Poole,Team Picnic PostNL,Climber,860,8
Davide Piganzoli,Team Polti VisitMalta,Climber,348,8
Wilco Kelderman,Team Visma | Lease a Bike,All Rounder,396,8
Brandon McNulty,UAE Team Emirates - XRG,All Rounder,1118,8
Jay Vine,UAE Team Emirates - XRG,All Rounder,486,8
Lorenzo Fortunato,XDS Astana Team,Climber,981,8
Christian Scaroni,XDS Astana Team,Unclassed,830,8
Diego Ulissi,XDS Astana Team,Unclassed,629,8
Quinten Hermans,Alpecin - Deceuninck,Unclassed,52,6
Timo Kielich,Alpecin - Deceuninck,Unclassed,18,6
Jensen Plowright,Alpecin - Deceuninck,Unclassed,85,6
Luca Mozzato,Arkéa - B&B Hotels,Sprinter,184,6
Matevž Govekar,Bahrain - Victorious,Sprinter,259,6
Edoardo Zambanini,Bahrain - Victorious,Unclassed,424,6
Milan Fretin,Cofidis,Sprinter,365,6
Sylvain Moniquet,Cofidis,Unclassed,150,6
Stefano Oldani,Cofidis,Unclassed,293,6
Geoffrey Bouchard,Decathlon AG2R La Mondiale Team,Unclassed,0,6
Stan Dewulf,Decathlon AG2R La Mondiale Team,Unclassed,8,6
Dorian Godon,Decathlon AG2R La Mondiale Team,Unclassed,144,6
Tord Gudmestad,Decathlon AG2R La Mondiale Team,Unclassed,67,6
Nicolas Prodhomme,Decathlon AG2R La Mondiale Team,Unclassed,787,6
Kasper Asgreen,EF Education - EasyPost,Unclassed,325,6
Jefferson Alexander Cepeda,EF Education - EasyPost,Climber,38,6
Mikkel Honoré,EF Education - EasyPost,Unclassed,98,6
Darren Rafferty,EF Education - EasyPost,Unclassed,85,6
Kevin Geniets,Groupama - FDJ,Unclassed,89,6
Quentin Pacher,Groupama - FDJ,Unclassed,95,6
Lucas Hamilton,INEOS Grenadiers,Unclassed,4,6
Brandon Smith Rivera,INEOS Grenadiers,Unclassed,224,6
Joshua Tarling,INEOS Grenadiers,Unclassed,432,6
Ben Turner,INEOS Grenadiers,Unclassed,242,6
Francesco Busatto,Intermarché - Wanty,Unclassed,193,6
Louis Meintjes,Intermarché - Wanty,Climber,170,6
Dion Smith,Intermarché - Wanty,Unclassed,0,6
Simon Clarke,Israel - Premier Tech,Unclassed,24,6
Marco Frigo,Israel - Premier Tech,Climber,144,6
Jakob Fuglsang,Israel - Premier Tech,Unclassed,4,6
Jan Hirt,Israel - Premier Tech,Climber,4,6
Nick Schultz,Israel - Premier Tech,Unclassed,4,6
Daan Hoole,Lidl - Trek,Unclassed,573,6
Patrick Konrad,Lidl - Trek,Unclassed,178,6
Søren Kragh Andersen,Lidl - Trek,Unclassed,68,6
