Edoardo Affini,Mitchelton-Scott,Unclassed,0,6
Michael Hepburn,Mitchelton-Scott,Unclassed,37,6
Damien Howson,Mitchelton-Scott,Climber,0,6
Dario Cataldo,Movistar Team,Unclassed,65,6
Sergio Samitier,Movistar Team,Unclassed,485,6
Eduardo Sepúlveda,Movistar Team,Unclassed,40,6
Davide Villella,Movistar Team,Unclassed,175,6
Victor Campenaerts,NTT Pro Cycling,Unclassed,517,6
Amanuel Ghebreigzabhier,NTT Pro Cycling,Unclassed,138,6
Louis Meintjes,NTT Pro Cycling,Climber,74,6
Ben O'Connor,NTT Pro Cycling,Unclassed,753,6
Danilo Wyss,NTT Pro Cycling,Unclassed,16,6
Koen Bouwman,Team Jumbo-Visma,Unclassed,2,6
Chris Harper,Team Jumbo-Visma,Unclassed,7,6
Tony Martin,Team Jumbo-Visma,Unclassed,2,6
Jos Van Emden,Team Jumbo-Visma,Unclassed,51,6
Chad Haga,Team Sunweb,Unclassed,310,6
Chris Hamilton,Team Sunweb,Unclassed,182,6
Jai Hindley,Team Sunweb,Climber,2106,6
Martijn Tusveld,Team Sunweb,Unclassed,262,6
Nicola Conci,Trek - Segafredo,Unclassed,26,6
Jacopo Mosca,Trek - Segafredo,Unclassed,307,6
Pieter Weening,Trek - Segafredo,Unclassed,4,6
Mikkel Bjerg,UAE-Team Emirates,Unclassed,589,6
Valerio Conti,UAE-Team Emirates,Climber,112,6
Brandon McNulty,UAE-Team Emirates,Unclassed,1018,6
Juan Sebastián Molano,UAE-Team Emirates,Unclassed,172,6
Maximiliano Richeze,UAE-Team Emirates,Sprinter,42,6
Lorenzo Rota,Vini Zabù - KTM,Unclassed,109,6
Luca Wackermann,Vini Zabù - KTM,Unclassed,129,6
Ben Gastauer,AG2R La Mondiale,Unclassed,20,4
Jaakko Hänninen,AG2R La Mondiale,Unclassed,0,4
Alessandro Bisolti,Androni Giocattoli - Sidermec,Unclassed,24,4
Luca Chirico,Androni Giocattoli - Sidermec,Unclassed,20,4
Simon Pellaud,Androni Giocattoli - Sidermec,Unclassed,442,4
Simone Ravanelli,Androni Giocattoli - Sidermec,Unclassed,160,4
Josip Rumac,Androni Giocattoli - Sidermec,Unclassed,35,4
Yukiya Arashiro,Bahrain - McLaren,Unclassed,76,4
Eros Capecchi,Bahrain - McLaren,Unclassed,80,4
Domen Novak,Bahrain - McLaren,Unclassed,118,4
Luca Covili,Bardiani-CSF-Faizanè,Unclassed,0,4
Filippo Fiorelli,Bardiani-CSF-Faizanè,Unclassed,215,4
Fabio Mazzucco,Bardiani-CSF-Faizanè,Unclassed,20,4
Francesco Romano,Bardiani-CSF-Faizanè,Unclassed,70,4
Alessandro Tonelli,Bardiani-CSF-Faizanè,Unclassed,150,4
